Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
1286,Aloe Vera,Water 200mL,Basil,Bulking,134mL,335mL,164,15,20,9
1287,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,113mL,216mL,110,18,7,1
1288,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Cocoa Powder",Bulking,163mL,219mL,296,8,22,4
1289,Beetroot,Water 200mL,Lavender,Diet,134mL,265mL,197,16,10,7
1290,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,148mL,216mL,139,1,9,5
1291,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,128mL,390mL,228,2,38,2
1292,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Chia Seeds",Bulking,157mL,314mL,120,2,10,3
1293,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Vanilla Extract",Bulking,181mL,288mL,294,5,29,1
1294,Protein Shake,"Whey Protein 30g, Milk 200mL","Chia Seeds, Ginger",Bulking,169mL,390mL,274,4,30,3
1295,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,111mL,207mL,101,11,4,1
1296,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Mint",Diet,170mL,233mL,144,15,19,8
1297,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,180mL,290mL,90,7,30,9
1298,Green Tea,"Green Tea Leaves 5g, Water 200mL",Vanilla Extract,Diet,175mL,269mL,288,3,15,1
1299,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Cinnamon",Diet,148mL,316mL,202,16,1,5
1300,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Ginger, Protein Powder",Diet,176mL,354mL,195,15,17,6
1301,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,198mL,232mL,89,8,3,0
1302,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,135mL,323mL,196,19,19,6
1303,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Mint",Bulking,158mL,356mL,91,3,19,4
1304,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,163mL,283mL,60,16,35,8
1305,Matcha,Water 200mL,Maple Syrup,Bulking,141mL,254mL,122,18,9,8
1306,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Ginger",Diet,167mL,216mL,168,10,30,7
1307,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,159mL,244mL,207,15,26,2
1308,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Cocoa Powder",Diet,151mL,371mL,50,16,36,5
1309,Green Tea,"Green Tea Leaves 5g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,180mL,248mL,144,1,36,0
1310,Aloe Vera,Water 200mL,"Lemon Zest, Maca Powder",Diet,185mL,260mL,220,10,24,6
1311,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,137mL,220mL,50,8,18,2
1312,Kombucha,Water 200mL,"Basil, Lemon Zest",Diet,125mL,399mL,165,14,39,6
1313,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,174mL,336mL,181,17,15,7
1314,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,114mL,255mL,191,19,6,7
1315,Milkshake,"Ice Cream 50g, Milk 150mL",Cocoa Powder,Bulking,153mL,310mL,155,13,2,4
1316,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Honey",Bulking,189mL,383mL,220,6,21,5
1317,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,132mL,394mL,189,10,29,7
1318,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,160mL,316mL,286,8,3,9
1319,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,123mL,300mL,267,19,17,0
1320,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Cocoa Powder",Bulking,184mL,284mL,262,0,38,7
1321,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,180mL,284mL,252,16,23,6
1322,Beetroot,Water 200mL,"Sea Salt, Lemon Zest",Diet,136mL,211mL,106,5,16,2
1323,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,169mL,315mL,104,9,21,6
1324,Turmeric,Water 200mL,"Basil, Lemon Zest",Diet,172mL,378mL,105,0,5,9
1325,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Chia Seeds",Diet,179mL,373mL,150,15,5,8
1326,Elderberry,Water 200mL,"Lavender, Sea Salt",Bulking,162mL,230mL,177,10,25,2
1327,Beetroot,Water 200mL,"Maple Syrup, Lemon Zest",Diet,118mL,341mL,138,14,13,0
1328,Coconut Water,Water 200mL,Maple Syrup,Bulking,110mL,313mL,108,16,33,8
1329,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Ginger",Bulking,121mL,329mL,120,16,9,5
1330,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Vanilla Extract",Bulking,115mL,354mL,51,15,32,3
1331,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Ginger",Bulking,183mL,221mL,136,16,13,3
1332,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,167mL,283mL,174,0,2,9
1333,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,182mL,377mL,209,2,32,1
1334,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Vanilla Extract",Bulking,129mL,362mL,164,16,37,8
1335,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Honey",Bulking,125mL,266mL,218,3,5,4
1336,Protein Shake,"Whey Protein 30g, Milk 200mL","Cocoa Powder, Vanilla Extract",Bulking,114mL,206mL,125,19,34,5
1337,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,121mL,313mL,156,10,11,1
1338,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,111mL,238mL,115,1,36,4
1339,Aloe Vera,Water 200mL,Lavender,Diet,163mL,328mL,112,0,23,2
1340,Black Coffee,"Coffee Beans 10g, Water 200mL","Vanilla Extract, Cocoa Powder",Diet,112mL,306mL,287,3,1,6
1341,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,134mL,291mL,128,14,10,3
1342,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,127mL,274mL,207,8,11,7
1343,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cinnamon, Ginger",Diet,105mL,280mL,200,13,33,8
1344,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Honey",Diet,139mL,275mL,254,17,35,2
1345,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Vanilla Extract",Bulking,104mL,360mL,78,9,5,1
1346,Turmeric,Water 200mL,Sea Salt,Bulking,153mL,280mL,107,3,6,5
1347,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,197mL,270mL,169,12,35,5
1348,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,138mL,333mL,127,14,7,9
1349,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,195mL,321mL,185,18,15,5
1350,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Honey, Protein Powder",Bulking,151mL,324mL,210,4,39,0
1351,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Cinnamon",Diet,191mL,314mL,214,8,25,5
1352,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,197mL,286mL,179,2,5,1
1353,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,194mL,338mL,177,6,30,3
1354,Pomegranate Juice,Water 200mL,"Maple Syrup, Lavender",Diet,113mL,349mL,283,5,36,8
1355,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cinnamon,Bulking,142mL,273mL,231,15,19,0
1356,Lemon Water,"Lemon Juice 20mL, Water 180mL",Ginger,Diet,142mL,227mL,115,4,1,7
1357,Pomegranate Juice,Water 200mL,Rose Petals,Bulking,106mL,238mL,297,2,2,2
1358,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,117mL,266mL,112,14,5,4
1359,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,137mL,273mL,80,9,20,8
1360,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,107mL,285mL,239,11,28,9
1361,Protein Shake,"Whey Protein 30g, Milk 200mL",Chia Seeds,Bulking,155mL,317mL,79,11,38,7
1362,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,151mL,315mL,290,6,19,9
1363,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Protein Powder",Diet,148mL,370mL,179,6,33,1
1364,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,101mL,355mL,274,8,15,9
1365,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Cocoa Powder",Bulking,129mL,307mL,88,13,18,3
1366,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,122mL,216mL,55,11,23,9
1367,Matcha,Water 200mL,"Sea Salt, Lemon Zest",Bulking,110mL,376mL,133,19,37,9
1368,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cocoa Powder,Bulking,173mL,384mL,278,0,31,6
1369,Beetroot,Water 200mL,"Basil, Lavender",Bulking,135mL,360mL,253,1,29,4
1370,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,133mL,353mL,146,18,16,7
1371,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,156mL,310mL,154,8,15,5
1372,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cinnamon, Cocoa Powder",Bulking,187mL,268mL,119,1,18,6
1373,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Protein Powder",Diet,193mL,276mL,163,11,6,2
1374,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Cocoa Powder",Diet,123mL,216mL,229,19,13,0
1375,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Cocoa Powder",Diet,156mL,302mL,176,18,16,0
1376,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Chia Seeds",Bulking,152mL,272mL,244,12,12,1
1377,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,187mL,342mL,221,7,33,8
1378,Protein Shake,"Whey Protein 30g, Milk 200mL",Cinnamon,Bulking,104mL,370mL,136,5,22,8
1379,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Ginger,Diet,181mL,264mL,212,12,24,6
1380,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,107mL,382mL,262,3,5,3
1381,Protein Shake,"Whey Protein 30g, Milk 200mL",Cocoa Powder,Bulking,160mL,253mL,107,4,37,9
1382,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Ginger",Bulking,142mL,209mL,174,12,11,9
1383,Elderberry,Water 200mL,Basil,Diet,199mL,369mL,297,0,34,9
1384,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,118mL,276mL,57,8,7,2
1385,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,162mL,294mL,131,8,1,4
1386,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,156mL,227mL,182,4,25,2
1387,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,132mL,322mL,194,16,24,3
1388,Coconut Water,Water 200mL,Maca Powder,Diet,118mL,275mL,132,14,19,9
1389,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,193mL,321mL,51,3,35,3
1390,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Cinnamon",Diet,162mL,384mL,280,15,19,2
1391,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Cinnamon",Bulking,134mL,250mL,254,8,11,4
1392,Matcha,Water 200mL,Basil,Diet,163mL,230mL,135,10,22,2
1393,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,150mL,279mL,113,17,15,7
1394,Kombucha,Water 200mL,Maple Syrup,Diet,177mL,349mL,232,13,18,8
1395,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Honey",Diet,104mL,335mL,115,15,3,6
1396,Matcha,Water 200mL,Lavender,Diet,164mL,285mL,85,4,2,4
1397,Beetroot,Water 200mL,Peppermint,Bulking,179mL,372mL,52,19,37,0
1398,Pomegranate Juice,Water 200mL,Lemon Zest,Diet,158mL,331mL,276,8,39,1
1399,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,123mL,217mL,248,5,32,7
1400,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Protein Powder",Bulking,181mL,387mL,72,16,24,1
1401,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Vanilla Extract",Diet,106mL,271mL,150,19,19,6
1402,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Protein Powder",Diet,136mL,322mL,58,10,24,4
1403,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,150mL,342mL,199,13,4,6
1404,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,138mL,355mL,171,18,26,3
1405,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,127mL,231mL,166,14,4,0
1406,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,193mL,254mL,106,5,39,2
1407,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,184mL,243mL,95,18,34,5
1408,Coconut Water,Water 200mL,Maple Syrup,Bulking,112mL,325mL,71,4,30,7
1409,Lemon Water,"Lemon Juice 20mL, Water 180mL",Chia Seeds,Diet,152mL,352mL,242,12,7,5
1410,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Honey, Ginger",Diet,135mL,368mL,93,2,6,4
1411,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Chia Seeds,Bulking,112mL,325mL,60,2,19,7
1412,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,184mL,277mL,263,0,6,5
1413,Pomegranate Juice,Water 200mL,"Rose Petals, Lavender",Bulking,139mL,376mL,98,1,7,3
1414,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Ginger",Bulking,135mL,252mL,193,9,22,8
1415,Matcha,Water 200mL,"Maple Syrup, Peppermint",Diet,124mL,319mL,224,8,18,2
1416,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Cocoa Powder, Honey",Bulking,186mL,301mL,123,10,13,7
1417,Turmeric,Water 200mL,"Lavender, Rose Petals",Bulking,172mL,383mL,232,0,6,5
1418,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Cinnamon",Diet,120mL,242mL,62,17,11,5
1419,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Ginger",Diet,114mL,245mL,249,14,19,4
1420,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,137mL,304mL,239,8,33,0
1421,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Vanilla Extract",Bulking,183mL,218mL,155,19,1,5
1422,Protein Shake,"Whey Protein 30g, Milk 200mL",Cocoa Powder,Bulking,194mL,389mL,214,8,1,3
1423,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,112mL,254mL,258,19,24,1
1424,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Ginger",Bulking,173mL,386mL,286,4,33,8
1425,Matcha,Water 200mL,"Maca Powder, Maple Syrup",Diet,131mL,313mL,129,17,36,5
1426,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,146mL,273mL,209,6,20,4
1427,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,173mL,244mL,291,9,28,1
1428,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,106mL,338mL,91,18,32,5
1429,Black Coffee,"Coffee Beans 10g, Water 200mL","Cinnamon, Mint",Diet,193mL,285mL,189,4,28,0
1430,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Honey",Diet,142mL,389mL,66,16,9,3
1431,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Honey,Diet,169mL,230mL,119,11,5,7
1432,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,189mL,378mL,203,14,38,3
1433,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,194mL,232mL,221,11,6,8
1434,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Protein Powder",Diet,111mL,206mL,256,19,5,1
1435,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cinnamon, Vanilla Extract",Diet,162mL,290mL,56,16,13,5
1436,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,107mL,228mL,191,7,28,4
1437,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,105mL,396mL,228,19,3,7
1438,Elderberry,Water 200mL,Maca Powder,Diet,153mL,323mL,53,2,9,3
1439,Matcha,Water 200mL,Basil,Bulking,183mL,353mL,137,7,25,9
1440,Elderberry,Water 200mL,Sea Salt,Diet,118mL,290mL,221,1,6,6
1441,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Ginger",Bulking,145mL,237mL,232,6,31,0
1442,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Cocoa Powder",Diet,179mL,256mL,109,11,30,2
1443,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Vanilla Extract,Bulking,154mL,254mL,272,16,27,3
1444,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Cocoa Powder",Diet,107mL,219mL,217,18,19,6
1445,Aloe Vera,Water 200mL,Lemon Zest,Bulking,135mL,395mL,284,18,18,9
1446,Green Tea,"Green Tea Leaves 5g, Water 200mL","Vanilla Extract, Mint",Diet,117mL,308mL,113,6,3,6
1447,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Ginger",Bulking,148mL,350mL,189,0,29,7
1448,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Mint",Bulking,148mL,201mL,82,0,2,6
1449,Coconut Water,Water 200mL,Maple Syrup,Diet,128mL,351mL,256,15,1,6
1450,Lemon Water,"Lemon Juice 20mL, Water 180mL",Honey,Diet,111mL,330mL,219,3,20,6
1451,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Chia Seeds",Diet,186mL,306mL,275,11,21,7
1452,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Chia Seeds",Diet,188mL,241mL,152,5,11,3
1453,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,106mL,287mL,259,13,39,6
1454,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Cinnamon",Diet,174mL,327mL,258,1,28,2
1455,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,133mL,381mL,235,1,39,7
1456,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Protein Powder,Diet,112mL,259mL,207,3,27,7
1457,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,179mL,223mL,100,7,28,5
1458,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Mint",Bulking,106mL,347mL,95,19,32,2
1459,Black Coffee,"Coffee Beans 10g, Water 200mL","Ginger, Mint",Diet,147mL,267mL,274,15,35,0
1460,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Cocoa Powder",Bulking,156mL,398mL,158,1,33,0
1461,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,119mL,320mL,110,3,26,2
1462,Black Coffee,"Coffee Beans 10g, Water 200mL","Cocoa Powder, Mint",Diet,145mL,334mL,214,16,23,4
1463,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,129mL,243mL,228,3,33,5
1464,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,124mL,344mL,286,13,36,5
1465,Green Tea,"Green Tea Leaves 5g, Water 200mL",Ginger,Diet,123mL,346mL,65,16,31,3
1466,Turmeric,Water 200mL,"Peppermint, Maca Powder",Diet,182mL,385mL,160,0,9,1
1467,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,170mL,248mL,281,12,1,2
1468,Beetroot,Water 200mL,Rose Petals,Diet,198mL,273mL,84,1,13,6
1469,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,137mL,273mL,53,6,37,4
1470,Milkshake,"Ice Cream 50g, Milk 150mL",Mint,Bulking,104mL,262mL,180,8,37,6
1471,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Ginger",Bulking,184mL,397mL,85,8,6,0
1472,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Vanilla Extract",Bulking,108mL,305mL,126,2,15,2
1473,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,103mL,339mL,66,19,8,9
1474,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Honey, Protein Powder",Bulking,194mL,308mL,186,15,27,9
1475,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Honey",Diet,123mL,216mL,67,1,36,1
1476,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,157mL,319mL,207,16,38,0
1477,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Vanilla Extract, Ginger",Diet,122mL,250mL,239,5,23,2
1478,Beetroot,Water 200mL,"Basil, Lavender",Diet,114mL,397mL,254,3,12,1
1479,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cocoa Powder, Vanilla Extract",Diet,132mL,359mL,150,0,24,5
1480,Protein Shake,"Whey Protein 30g, Milk 200mL",Mint,Bulking,122mL,393mL,82,7,21,6
1481,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,140mL,223mL,209,7,19,1
1482,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Ginger",Bulking,131mL,372mL,204,19,9,8
1483,Milkshake,"Ice Cream 50g, Milk 150mL",Honey,Bulking,145mL,337mL,258,3,21,1
1484,Beetroot,Water 200mL,"Basil, Lemon Zest",Diet,151mL,226mL,72,17,38,9
1485,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,105mL,346mL,208,8,38,7
1486,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,176mL,323mL,221,10,3,2
1487,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Protein Powder",Diet,195mL,379mL,278,19,39,2
1488,Coconut Water,Water 200mL,"Sea Salt, Lavender",Bulking,144mL,384mL,120,18,10,0
1489,Matcha,Water 200mL,"Maca Powder, Lemon Zest",Bulking,141mL,305mL,218,12,13,8
1490,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Honey",Bulking,178mL,307mL,143,14,21,4
1491,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cocoa Powder,Diet,150mL,206mL,204,4,39,7
1492,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,127mL,363mL,287,4,17,8
1493,Green Tea,"Green Tea Leaves 5g, Water 200mL",Mint,Diet,144mL,260mL,159,11,8,7
1494,Matcha,Water 200mL,Maca Powder,Diet,124mL,252mL,286,6,28,8
1495,Kombucha,Water 200mL,"Lemon Zest, Rose Petals",Bulking,172mL,317mL,148,9,28,4
1496,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,154mL,323mL,229,10,15,9
1497,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,106mL,317mL,118,11,35,8
1498,Coconut Water,Water 200mL,Maple Syrup,Diet,140mL,249mL,199,5,7,5
1499,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Cinnamon",Bulking,116mL,359mL,268,14,27,1
1500,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,111mL,229mL,210,3,9,6
1501,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Cocoa Powder",Bulking,119mL,370mL,51,12,2,5
1502,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Mint, Protein Powder",Bulking,171mL,275mL,123,19,33,9
1503,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Mint, Vanilla Extract",Bulking,165mL,305mL,117,12,29,4
1504,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Protein Powder",Diet,171mL,261mL,68,6,25,3
