Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
3077,Fried Rice,"Butter 94g, Spices Black Pepper, Black Mustard Seed","Paprika, Black Mustard Seed, Hot Sauce",Savory,Bulking,85g/126mL,154g/245mL,229,35,86,13
3078,Duck Confit,"Egg 67g, Spices Rosemary, Cumin, Hot Sauce","Cumin, Hot Sauce, Cinnamon",Meat,Bulking,61g/102mL,163g/259mL,297,15,49,16
3079,Lamb Chops,"Turkey Slices 78g, Spices Rosemary, Thyme","Paprika, Rosemary, Thyme",Meat,Bulking,81g/135mL,184g/212mL,539,47,20,21
3080,Pumpkin Spice Latte,"Carrot 145g, Spices Paprika, Garlic Powder, Black Pepper","Hot Sauce, Cayenne Pepper, Ginger, Chili Powder",Sweet,Bulking,67g/126mL,190g/284mL,590,40,53,18
3081,Lamb Chops,"Carrot 119g, Spices Cayenne Pepper, Paprika","Cayenne Pepper, Oregano",Meat,Bulking,74g/118mL,186g/205mL,240,47,45,14
3082,Vanilla Custard,"Tomato 54g, Spices Cayenne Pepper","Garlic Powder, Cinnamon, Thyme",Sweet,Bulking,66g/144mL,154g/231mL,303,45,27,10
3083,Chicken Soup,"Onion 62g, Spices Garlic Powder, Cumin, Rosemary","Turmeric, Chili Powder, Ginger",Savory,Bulking,86g/148mL,116g/296mL,611,39,53,11
3084,Chili Con Carne,"Oat 123g, Spices Hot Sauce","Oregano, Cardamom, Ginger",Spicy,Bulking,67g/106mL,179g/214mL,579,32,21,29
3085,Hot Chicken Wings,"Broccoli 60g, Spices Thyme","Thyme, Ginger, Oregano",Spicy,Bulking,95g/147mL,130g/229mL,438,11,34,13
3086,Fruit Salad,"Honey 95g, Spices Turmeric, Chili Powder","Cinnamon, Paprika, Hot Sauce, Garlic Powder",Fruit,Bulking,56g/114mL,111g/284mL,546,46,65,7
3087,Fruit Salad,"Butter 77g, Spices Chili Powder, Black Pepper, Chili Powder",Cardamom,Fruit,Bulking,93g/122mL,116g/286mL,730,13,54,27
3088,Vanilla Custard,"Yogurt 139g, Spices Turmeric",Cumin,Sweet,Bulking,82g/134mL,188g/272mL,750,11,49,10
3089,Szechuan Noodles,"Tomato 95g, Spices Oregano, Cardamom, Garlic Powder","Turmeric, Rosemary",Spicy,Bulking,98g/105mL,153g/229mL,773,45,51,21
3090,Pumpkin Spice Latte,"Milk 69g, Spices Chili Powder, Hot Sauce","Cayenne Pepper, Black Pepper",Sweet,Bulking,68g/112mL,124g/289mL,379,40,95,24
3091,Pumpkin Spice Latte,"Egg 52g, Spices Thyme, Cumin","Cayenne Pepper, Cumin, Thyme",Sweet,Bulking,84g/124mL,157g/205mL,245,47,23,27
3092,Roast Chicken,"Beef Steak 72g, Spices Oregano, Cinnamon, Rosemary",Ginger,Meat,Bulking,60g/126mL,146g/273mL,578,16,39,20
3093,Vanilla Custard,"Carrot 89g, Spices Oregano","Thyme, Oregano, Hot Sauce, Paprika",Sweet,Bulking,97g/126mL,196g/265mL,640,25,60,26
3094,Vegetable Curry,"Soy 66g, Spices Hot Sauce","Oregano, Cayenne Pepper, Cumin",Vegetable,Bulking,86g/136mL,180g/243mL,370,8,62,16
3095,Pork Ribs,"Broccoli 119g, Spices Paprika, Cinnamon, Cinnamon",Garlic Powder,Meat,Bulking,77g/142mL,182g/208mL,514,45,60,11
3096,Jalapeno Poppers,"Salmon 100g, Spices Cayenne Pepper",Chili Powder,Spicy,Bulking,55g/126mL,118g/209mL,631,9,59,16
3097,Roasted Carrots,"Carrot 101g, Spices Paprika, Rosemary, Turmeric","Cinnamon, Rosemary, Cumin",Vegetable,Bulking,71g/103mL,121g/276mL,347,11,34,14
3098,Salad Bowl,"Soy 137g, Spices Black Pepper, Chili Powder","Chili Powder, Thyme, Ginger",Vegetable,Bulking,67g/106mL,140g/219mL,524,12,94,10
3099,Garlic Bread,"Carrot 93g, Spices Oregano","Oregano, Ginger, Cumin, Cardamom",Savory,Bulking,92g/130mL,178g/224mL,588,22,37,20
3100,Grilled Vegetables,"Honey 50g, Spices Rosemary, Cardamom","Thyme, Oregano",Vegetable,Bulking,69g/135mL,177g/297mL,613,11,57,14
3101,Pumpkin Spice Latte,"Honey 89g, Spices Cinnamon, Turmeric, Chili Powder","Turmeric, Hot Sauce",Sweet,Bulking,85g/123mL,127g/203mL,302,33,59,18
3102,Grilled Vegetables,"Turkey Slices 61g, Spices Paprika",Chili Powder,Vegetable,Bulking,99g/121mL,198g/288mL,742,45,87,23
3103,Chicken Soup,"Honey 97g, Spices Cumin",Turmeric,Savory,Bulking,82g/109mL,154g/277mL,751,44,20,10
3104,Grilled Vegetables,"Milk 67g, Spices Black Pepper, Ginger","Garlic Powder, Ginger",Vegetable,Bulking,52g/129mL,160g/225mL,307,34,71,13
3105,Hot Chicken Wings,"Tuna 104g, Spices Thyme",Chili Powder,Spicy,Bulking,73g/114mL,167g/205mL,761,37,82,5
3106,Apple Pie,"Cheese 91g, Spices Cardamom, Cumin","Paprika, Black Mustard Seed, Garlic Powder",Fruit,Bulking,53g/125mL,149g/227mL,321,26,31,29
3107,Grilled Salmon,"Turkey Slices 149g, Spices Rosemary",Ginger,Meat,Bulking,87g/103mL,107g/249mL,747,47,99,15
3108,Salad Bowl,"Wheat Flour 133g, Spices Thyme, Black Mustard Seed","Rosemary, Cayenne Pepper, Ginger, Thyme",Vegetable,Bulking,87g/133mL,164g/215mL,534,33,30,29
3109,Salad Bowl,"Kale 135g, Spices Hot Sauce, Cardamom","Cumin, Ginger, Rosemary",Vegetable,Bulking,68g/119mL,197g/202mL,267,49,82,14
3110,Berry Smoothie,"Almond 85g, Spices Garlic Powder, Cayenne Pepper","Garlic Powder, Chili Powder, Cardamom",Fruit,Bulking,97g/136mL,137g/237mL,672,42,99,13
3111,Duck Confit,"Butter 87g, Spices Black Pepper, Rosemary","Cardamom, Cinnamon, Black Mustard Seed, Thyme",Meat,Bulking,79g/107mL,195g/292mL,791,16,98,23
3112,Chocolate Cake,"Chicken Breast 98g, Spices Rosemary","Cumin, Cardamom, Black Pepper, Cayenne Pepper",Sweet,Bulking,51g/134mL,131g/251mL,223,38,34,19
3113,Berry Smoothie,"Tuna 58g, Spices Cayenne Pepper, Paprika","Black Mustard Seed, Cardamom",Fruit,Bulking,81g/132mL,145g/205mL,688,44,29,10
3114,Chocolate Cake,"Broccoli 146g, Spices Paprika, Chili Powder, Ginger",Black Mustard Seed,Sweet,Bulking,80g/144mL,125g/206mL,438,11,52,18
3115,Chocolate Cake,"Onion 131g, Spices Hot Sauce, Oregano","Paprika, Thyme",Sweet,Bulking,69g/128mL,165g/286mL,461,22,39,27
3116,Chicken Soup,"Milk 53g, Spices Thyme","Garlic Powder, Turmeric, Cardamom",Savory,Bulking,65g/148mL,175g/259mL,356,37,40,8
3117,Pumpkin Spice Latte,"Beef Steak 92g, Spices Rosemary, Thyme, Paprika","Garlic Powder, Thyme, Cayenne Pepper, Paprika",Sweet,Bulking,61g/132mL,131g/272mL,773,46,82,12
3118,Lamb Chops,"Salmon 101g, Spices Chili Powder, Thyme","Cayenne Pepper, Black Pepper, Chili Powder, Garlic Powder",Meat,Bulking,97g/127mL,178g/252mL,536,5,51,26
3119,Mushroom Risotto,"Oat 85g, Spices Hot Sauce, Cinnamon, Cumin","Ginger, Thyme, Hot Sauce",Savory,Bulking,83g/113mL,179g/204mL,564,40,89,14
3120,Vegetable Curry,"Wheat Flour 86g, Spices Oregano","Garlic Powder, Turmeric",Vegetable,Bulking,85g/110mL,157g/226mL,223,37,59,21
3121,Chocolate Cake,"Onion 129g, Spices Rosemary, Cinnamon","Turmeric, Garlic Powder, Cardamom, Cinnamon",Sweet,Bulking,84g/109mL,125g/243mL,736,21,94,16
3122,Stir Fried Greens,"Carrot 147g, Spices Rosemary","Cinnamon, Paprika, Cardamom",Vegetable,Bulking,68g/148mL,181g/206mL,708,19,32,26
3123,Hot Chicken Wings,"Banana 89g, Spices Cayenne Pepper, Cardamom, Cumin","Paprika, Turmeric",Spicy,Bulking,59g/119mL,159g/216mL,212,16,74,17
3124,Mango Sorbet,"Wheat Flour 51g, Spices Ginger, Paprika, Cardamom","Black Pepper, Ginger, Cardamom",Fruit,Bulking,84g/148mL,162g/281mL,272,43,72,6
3125,Salad Bowl,"Carrot 135g, Spices Cardamom, Paprika","Cardamom, Black Mustard Seed, Ginger",Vegetable,Bulking,59g/121mL,148g/267mL,749,39,62,6
3126,Garlic Bread,"Tuna 139g, Spices Cayenne Pepper, Thyme","Cinnamon, Turmeric, Black Mustard Seed",Savory,Bulking,52g/115mL,160g/215mL,421,26,30,21
3127,Roasted Carrots,"Turkey Slices 108g, Spices Cardamom, Cinnamon, Paprika","Rosemary, Cumin",Vegetable,Bulking,57g/146mL,188g/233mL,798,30,59,19
3128,Garlic Bread,"Salmon 133g, Spices Thyme","Hot Sauce, Cumin, Turmeric, Chili Powder",Savory,Bulking,53g/131mL,114g/221mL,207,14,61,12
3129,Apple Pie,"Tuna 104g, Spices Cayenne Pepper",Oregano,Fruit,Bulking,87g/128mL,127g/275mL,705,48,27,27
3130,Roast Chicken,"Salmon 85g, Spices Turmeric, Cardamom","Garlic Powder, Cumin",Meat,Bulking,95g/108mL,156g/266mL,457,29,70,22
3131,Garlic Bread,"Garlic 99g, Spices Ginger","Cayenne Pepper, Thyme, Ginger",Savory,Bulking,64g/145mL,197g/244mL,734,9,30,7
3132,Chocolate Cake,"Carrot 112g, Spices Black Mustard Seed, Cumin","Cinnamon, Black Mustard Seed",Sweet,Bulking,73g/121mL,180g/206mL,500,46,39,11
3133,Berry Smoothie,"Banana 73g, Spices Cayenne Pepper","Black Mustard Seed, Paprika, Chili Powder",Fruit,Bulking,99g/131mL,111g/289mL,213,45,23,12
3134,Pork Ribs,"Garlic 68g, Spices Oregano","Cinnamon, Cumin, Garlic Powder, Cardamom",Meat,Bulking,56g/112mL,105g/256mL,450,35,53,21
3135,Chocolate Cake,"Orange 132g, Spices Chili Powder",Chili Powder,Sweet,Bulking,77g/145mL,106g/260mL,407,48,60,14
3136,Roasted Carrots,"Onion 109g, Spices Hot Sauce",Rosemary,Vegetable,Bulking,99g/101mL,166g/293mL,257,8,68,6
3137,Stir Fried Greens,"Milk 88g, Spices Cumin, Ginger","Turmeric, Garlic Powder",Vegetable,Bulking,73g/106mL,132g/269mL,485,45,25,18
3138,Roast Chicken,"Almond 127g, Spices Thyme, Cardamom","Garlic Powder, Oregano, Ginger, Hot Sauce",Meat,Bulking,98g/149mL,107g/233mL,252,34,62,28
3139,Roast Chicken,"Yogurt 142g, Spices Ginger, Chili Powder, Ginger",Rosemary,Meat,Bulking,57g/115mL,150g/266mL,780,49,84,14
3140,Fruit Kebabs,"Apple 125g, Spices Black Mustard Seed, Chili Powder, Cayenne Pepper","Cinnamon, Cumin, Rosemary",Fruit,Bulking,56g/115mL,127g/254mL,347,6,58,25
3141,Fruit Kebabs,"Apple 81g, Spices Turmeric, Turmeric",Hot Sauce,Fruit,Bulking,59g/112mL,128g/279mL,735,43,38,13
3142,Grilled Vegetables,"Chicken Breast 123g, Spices Garlic Powder","Garlic Powder, Cardamom, Oregano",Vegetable,Bulking,82g/127mL,112g/240mL,670,41,84,18
3143,Pork Ribs,"Beef Steak 95g, Spices Hot Sauce, Turmeric",Thyme,Meat,Bulking,73g/143mL,147g/211mL,671,7,21,10
3144,Roast Chicken,"Cheese 149g, Spices Black Pepper, Rosemary","Cardamom, Ginger",Meat,Bulking,72g/120mL,192g/255mL,363,35,29,22
3145,Stir Fried Greens,"Wheat Flour 132g, Spices Thyme, Chili Powder, Hot Sauce","Rosemary, Garlic Powder, Turmeric, Thyme",Vegetable,Bulking,57g/136mL,106g/210mL,682,19,89,12
3146,Jalapeno Poppers,"Garlic 140g, Spices Paprika, Hot Sauce, Garlic Powder","Turmeric, Cumin, Cinnamon",Spicy,Bulking,97g/138mL,197g/240mL,302,34,41,27
3147,Salad Bowl,"Oat 88g, Spices Black Pepper, Oregano, Ginger",Thyme,Vegetable,Bulking,53g/114mL,179g/254mL,622,8,69,27
3148,Apple Pie,"Wheat Flour 71g, Spices Paprika, Paprika, Thyme","Cayenne Pepper, Thyme",Fruit,Bulking,80g/127mL,190g/255mL,479,29,31,15
3149,Fruit Salad,"Milk 66g, Spices Cayenne Pepper, Hot Sauce, Oregano","Hot Sauce, Cayenne Pepper",Fruit,Bulking,76g/117mL,130g/271mL,548,18,40,6
3150,Roasted Carrots,"Salmon 95g, Spices Rosemary",Thyme,Vegetable,Bulking,64g/109mL,168g/243mL,758,35,84,18
3151,Jalapeno Poppers,"Egg 124g, Spices Oregano, Black Mustard Seed","Cinnamon, Turmeric",Spicy,Bulking,87g/134mL,115g/281mL,580,5,71,18
3152,Salad Bowl,"Tuna 67g, Spices Thyme, Garlic Powder",Turmeric,Vegetable,Bulking,50g/117mL,186g/226mL,482,19,71,23
3153,Apple Pie,"Carrot 101g, Spices Cumin","Garlic Powder, Black Mustard Seed",Fruit,Bulking,58g/126mL,166g/207mL,593,7,41,7
3154,Jalapeno Poppers,"Wheat Flour 75g, Spices Chili Powder, Black Pepper","Cayenne Pepper, Black Mustard Seed, Hot Sauce, Paprika",Spicy,Bulking,69g/143mL,108g/263mL,444,46,56,11
3155,Chicken Soup,"Apple 67g, Spices Thyme","Cardamom, Hot Sauce, Chili Powder",Savory,Bulking,75g/139mL,199g/234mL,424,23,79,17
3156,Roasted Carrots,"Honey 108g, Spices Turmeric, Turmeric, Paprika","Hot Sauce, Rosemary",Vegetable,Bulking,85g/108mL,175g/225mL,682,33,91,13
3157,Pumpkin Spice Latte,"Kale 111g, Spices Black Mustard Seed, Cardamom","Oregano, Cayenne Pepper, Hot Sauce, Black Mustard Seed",Sweet,Bulking,80g/108mL,160g/298mL,464,22,57,20
3158,Chocolate Cake,"Turkey Slices 117g, Spices Garlic Powder, Rosemary, Cumin",Rosemary,Sweet,Bulking,88g/109mL,127g/207mL,281,26,81,7
3159,Fried Rice,"Broccoli 101g, Spices Rosemary, Thyme","Hot Sauce, Cumin",Savory,Bulking,62g/149mL,149g/240mL,505,10,33,15
3160,Chocolate Cake,"Egg 126g, Spices Hot Sauce, Paprika",Cardamom,Sweet,Bulking,81g/110mL,100g/210mL,530,27,97,26
3161,Fruit Kebabs,"Butter 113g, Spices Rosemary","Black Mustard Seed, Cayenne Pepper, Garlic Powder, Paprika",Fruit,Bulking,53g/114mL,161g/206mL,287,36,28,22
3162,Szechuan Noodles,"Yogurt 137g, Spices Thyme","Thyme, Chili Powder, Black Pepper, Oregano",Spicy,Bulking,58g/129mL,124g/235mL,796,28,74,6
3163,Fruit Salad,"Onion 121g, Spices Cardamom, Oregano","Cayenne Pepper, Ginger",Fruit,Bulking,66g/107mL,167g/240mL,693,14,81,17
3164,Garlic Bread,"Broccoli 74g, Spices Cumin, Thyme, Chili Powder","Ginger, Black Pepper",Savory,Bulking,67g/141mL,196g/223mL,243,22,68,18
3165,Beef Stew,"Wheat Flour 57g, Spices Ginger, Garlic Powder","Thyme, Cardamom, Garlic Powder, Turmeric",Savory,Bulking,65g/142mL,180g/280mL,435,23,41,10
3166,Grilled Salmon,"Tomato 107g, Spices Cayenne Pepper, Cardamom","Cumin, Turmeric",Meat,Bulking,53g/137mL,187g/217mL,733,9,24,9
3167,Duck Confit,"Oat 124g, Spices Black Mustard Seed, Ginger, Cardamom",Black Mustard Seed,Meat,Bulking,68g/118mL,181g/282mL,334,37,92,17
3168,Garlic Bread,"Egg 73g, Spices Cumin, Rosemary, Ginger",Cinnamon,Savory,Bulking,87g/123mL,135g/285mL,421,38,68,22
3169,Jalapeno Poppers,"Beef Steak 96g, Spices Oregano, Cinnamon",Cardamom,Spicy,Bulking,92g/143mL,107g/289mL,465,25,34,14
3170,Fried Rice,"Egg 81g, Spices Black Pepper","Black Pepper, Cinnamon, Cumin",Savory,Bulking,57g/134mL,177g/260mL,317,11,38,10
3171,Spicy Tacos,"Oat 89g, Spices Cumin, Ginger, Thyme","Hot Sauce, Oregano, Chili Powder",Spicy,Bulking,93g/133mL,126g/281mL,692,16,84,9
3172,Vegetable Curry,"Almond 79g, Spices Oregano","Cinnamon, Cayenne Pepper, Cardamom, Garlic Powder",Vegetable,Bulking,97g/132mL,142g/224mL,389,16,93,20
3173,Mango Sorbet,"Honey 66g, Spices Oregano",Paprika,Fruit,Bulking,82g/120mL,113g/206mL,339,18,36,25
3174,Fried Rice,"Cheese 50g, Spices Cardamom","Cardamom, Garlic Powder, Cinnamon",Savory,Bulking,72g/140mL,199g/210mL,750,46,77,16
3175,Jalapeno Poppers,"Milk 108g, Spices Black Pepper, Ginger","Cumin, Cayenne Pepper, Ginger, Thyme",Spicy,Bulking,58g/106mL,121g/215mL,582,16,32,11
3176,Szechuan Noodles,"Kale 111g, Spices Black Pepper","Turmeric, Ginger",Spicy,Bulking,58g/128mL,194g/212mL,576,41,88,21
3177,Stir Fried Greens,"Kale 53g, Spices Black Pepper","Turmeric, Garlic Powder, Cayenne Pepper, Thyme",Vegetable,Bulking,73g/132mL,194g/218mL,311,39,47,13
3178,Roasted Carrots,"Turkey Slices 104g, Spices Black Pepper","Ginger, Black Mustard Seed, Turmeric, Hot Sauce",Vegetable,Bulking,96g/115mL,177g/286mL,277,33,55,8
3179,Stir Fried Greens,"Tuna 112g, Spices Garlic Powder","Cumin, Thyme",Vegetable,Bulking,88g/110mL,178g/209mL,628,10,61,7
3180,Roast Chicken,"Wheat Flour 101g, Spices Cinnamon","Garlic Powder, Black Pepper, Thyme, Oregano",Meat,Bulking,97g/124mL,131g/270mL,557,25,38,10
3181,Beef Stew,"Kale 108g, Spices Cinnamon, Hot Sauce, Black Mustard Seed",Cinnamon,Savory,Bulking,94g/105mL,118g/230mL,265,47,25,28
3182,Beef Stew,"Turkey Slices 96g, Spices Thyme, Turmeric, Black Mustard Seed","Cinnamon, Cumin, Cardamom, Black Mustard Seed",Savory,Bulking,78g/132mL,137g/222mL,319,17,73,25
3183,Jalapeno Poppers,"Carrot 99g, Spices Chili Powder, Ginger","Cayenne Pepper, Cardamom, Thyme",Spicy,Bulking,85g/116mL,152g/226mL,624,31,46,24
3184,Szechuan Noodles,"Kale 121g, Spices Black Mustard Seed, Chili Powder","Thyme, Rosemary",Spicy,Bulking,94g/137mL,196g/258mL,666,44,39,10
3185,Salad Bowl,"Beef Steak 116g, Spices Ginger, Cumin, Paprika","Turmeric, Oregano",Vegetable,Bulking,77g/140mL,198g/280mL,234,13,85,16
3186,Salad Bowl,"Tomato 121g, Spices Turmeric","Ginger, Turmeric, Cayenne Pepper",Vegetable,Bulking,59g/103mL,144g/200mL,683,31,42,26
3187,Jalapeno Poppers,"Onion 133g, Spices Rosemary, Cinnamon","Ginger, Cayenne Pepper, Cumin",Spicy,Bulking,63g/115mL,134g/280mL,243,19,87,6
3188,Vegetable Curry,"Chicken Breast 115g, Spices Garlic Powder","Paprika, Black Mustard Seed, Garlic Powder",Vegetable,Bulking,85g/122mL,177g/243mL,764,35,97,29
3189,Roast Chicken,"Apple 72g, Spices Chili Powder",Ginger,Meat,Bulking,58g/129mL,127g/280mL,584,22,22,11
3190,Duck Confit,"Onion 104g, Spices Cumin","Paprika, Rosemary",Meat,Bulking,84g/104mL,179g/290mL,554,32,33,18
3191,Jalapeno Poppers,"Yogurt 63g, Spices Hot Sauce",Chili Powder,Spicy,Bulking,94g/109mL,125g/280mL,713,45,87,20
3192,Lamb Chops,"Wheat Flour 69g, Spices Black Pepper","Garlic Powder, Thyme, Rosemary",Meat,Bulking,73g/144mL,141g/215mL,254,46,65,17
3193,Roasted Carrots,"Honey 61g, Spices Cumin, Rosemary, Rosemary",Paprika,Vegetable,Bulking,68g/148mL,127g/255mL,600,24,58,21
3194,Spicy Tacos,"Tuna 58g, Spices Oregano, Cinnamon, Turmeric","Black Mustard Seed, Garlic Powder",Spicy,Bulking,50g/139mL,172g/263mL,586,12,94,29
3195,Maple Pecan Pie,"Butter 57g, Spices Turmeric, Cayenne Pepper, Hot Sauce","Paprika, Chili Powder, Garlic Powder",Sweet,Bulking,84g/136mL,128g/297mL,763,17,94,25
3196,Grilled Vegetables,"Orange 124g, Spices Rosemary, Paprika, Black Mustard Seed","Black Mustard Seed, Hot Sauce",Vegetable,Bulking,84g/119mL,102g/293mL,615,35,86,25
3197,Mango Sorbet,"Honey 50g, Spices Cayenne Pepper, Cardamom, Cumin","Thyme, Hot Sauce, Cinnamon",Fruit,Bulking,74g/129mL,170g/296mL,489,29,98,25
3198,Fruit Salad,"Kale 89g, Spices Rosemary","Turmeric, Hot Sauce, Black Mustard Seed",Fruit,Bulking,88g/137mL,178g/236mL,296,48,84,9
3199,Szechuan Noodles,"Beef Steak 122g, Spices Hot Sauce, Hot Sauce, Cinnamon","Black Mustard Seed, Black Pepper, Hot Sauce",Spicy,Bulking,90g/149mL,134g/250mL,730,16,21,18
3200,Pork Ribs,"Cheese 136g, Spices Thyme",Chili Powder,Meat,Bulking,94g/125mL,189g/259mL,676,15,76,21
3201,Pumpkin Spice Latte,"Kale 101g, Spices Turmeric, Oregano","Ginger, Cardamom, Garlic Powder",Sweet,Bulking,51g/101mL,160g/260mL,695,10,66,16
3202,Chili Con Carne,"Kale 118g, Spices Cinnamon",Rosemary,Spicy,Bulking,60g/109mL,183g/230mL,790,30,24,23
3203,Berry Smoothie,"Milk 107g, Spices Ginger, Cardamom, Cumin",Thyme,Fruit,Bulking,65g/110mL,131g/289mL,235,46,53,29
3204,Pumpkin Spice Latte,"Broccoli 89g, Spices Ginger","Cumin, Rosemary, Turmeric, Cayenne Pepper",Sweet,Bulking,54g/115mL,115g/243mL,540,49,42,23
3205,Mango Sorbet,"Tuna 139g, Spices Cardamom","Black Pepper, Cardamom",Fruit,Bulking,69g/102mL,167g/258mL,515,6,89,18
3206,Garlic Bread,"Banana 89g, Spices Hot Sauce, Paprika","Thyme, Ginger",Savory,Bulking,88g/114mL,115g/241mL,586,9,82,25
3207,Grilled Vegetables,"Onion 95g, Spices Cardamom","Oregano, Black Pepper, Cardamom",Vegetable,Bulking,84g/143mL,114g/253mL,267,36,54,14
3208,Vanilla Custard,"Chicken Breast 116g, Spices Cayenne Pepper, Turmeric, Oregano",Oregano,Sweet,Bulking,95g/116mL,174g/269mL,480,38,62,20
3209,Fruit Kebabs,"Milk 149g, Spices Cumin","Garlic Powder, Cinnamon, Black Mustard Seed, Rosemary",Fruit,Bulking,72g/104mL,138g/257mL,537,8,20,11
3210,Chocolate Cake,"Orange 64g, Spices Thyme, Chili Powder, Cardamom",Chili Powder,Sweet,Bulking,69g/120mL,190g/281mL,734,34,38,22
3211,Roasted Carrots,"Egg 117g, Spices Thyme, Cardamom, Thyme","Cinnamon, Cayenne Pepper, Ginger, Black Pepper",Vegetable,Bulking,92g/109mL,137g/227mL,256,12,54,24
3212,Chili Con Carne,"Apple 70g, Spices Cardamom","Thyme, Cayenne Pepper",Spicy,Bulking,69g/126mL,185g/284mL,459,28,86,14
3213,Fruit Salad,"Tuna 53g, Spices Hot Sauce, Black Mustard Seed",Thyme,Fruit,Bulking,59g/112mL,146g/237mL,645,37,87,24
3214,Chicken Soup,"Garlic 94g, Spices Turmeric, Rosemary","Cinnamon, Hot Sauce, Ginger, Turmeric",Savory,Bulking,86g/132mL,120g/268mL,300,32,68,8
3215,Mango Sorbet,"Orange 143g, Spices Cinnamon",Black Mustard Seed,Fruit,Bulking,66g/107mL,144g/232mL,673,40,77,15
3216,Roast Chicken,"Onion 140g, Spices Turmeric, Garlic Powder","Hot Sauce, Cumin, Cinnamon",Meat,Bulking,88g/134mL,127g/241mL,631,27,67,16
3217,Chili Con Carne,"Orange 111g, Spices Cayenne Pepper, Cinnamon",Cayenne Pepper,Spicy,Bulking,58g/122mL,128g/261mL,222,37,81,27
3218,Beef Stew,"Kale 53g, Spices Cinnamon, Black Pepper, Oregano",Oregano,Savory,Bulking,58g/132mL,199g/207mL,732,19,57,20
3219,Stir Fried Greens,"Apple 140g, Spices Garlic Powder","Thyme, Garlic Powder, Paprika, Turmeric",Vegetable,Bulking,76g/112mL,174g/290mL,479,21,68,8
3220,Fried Rice,"Egg 103g, Spices Ginger, Chili Powder, Thyme","Garlic Powder, Paprika",Savory,Bulking,61g/126mL,194g/255mL,286,41,27,5
3221,Blueberry Muffin,"Chicken Breast 90g, Spices Hot Sauce, Paprika","Black Mustard Seed, Rosemary, Chili Powder, Hot Sauce",Sweet,Bulking,96g/107mL,121g/252mL,491,29,66,16
3222,Pork Ribs,"Milk 75g, Spices Rosemary, Cardamom",Garlic Powder,Meat,Bulking,94g/129mL,116g/249mL,457,11,62,12
3223,Grilled Salmon,"Kale 141g, Spices Black Pepper",Cardamom,Meat,Bulking,75g/145mL,132g/207mL,684,22,88,8
3224,Spicy Tacos,"Broccoli 70g, Spices Ginger, Hot Sauce, Ginger","Ginger, Cinnamon, Hot Sauce",Spicy,Bulking,73g/143mL,114g/248mL,474,36,63,29
3225,Berry Smoothie,"Turkey Slices 108g, Spices Hot Sauce, Rosemary","Ginger, Paprika, Garlic Powder",Fruit,Bulking,59g/121mL,199g/291mL,553,10,30,13
3226,Vanilla Custard,"Almond 142g, Spices Paprika, Cumin, Garlic Powder",Ginger,Sweet,Bulking,75g/145mL,128g/266mL,256,11,38,20
3227,Jalapeno Poppers,"Kale 123g, Spices Chili Powder, Paprika",Thyme,Spicy,Bulking,96g/128mL,139g/298mL,597,35,72,20
3228,Pork Ribs,"Beef Steak 78g, Spices Cumin","Oregano, Cardamom",Meat,Bulking,76g/147mL,162g/222mL,630,35,33,5
3229,Vanilla Custard,"Banana 101g, Spices Black Mustard Seed, Rosemary",Cinnamon,Sweet,Bulking,78g/136mL,187g/247mL,512,38,78,16
3230,Chili Con Carne,"Garlic 65g, Spices Black Pepper, Cinnamon",Cinnamon,Spicy,Bulking,65g/113mL,169g/252mL,696,41,76,25
3231,Fruit Kebabs,"Tomato 110g, Spices Paprika","Ginger, Turmeric, Rosemary",Fruit,Bulking,63g/105mL,123g/278mL,246,32,82,26
3232,Apple Pie,"Soy 68g, Spices Ginger, Black Pepper, Paprika","Hot Sauce, Black Pepper, Black Mustard Seed",Fruit,Bulking,72g/123mL,103g/206mL,550,44,35,10
3233,Fruit Kebabs,"Cheese 124g, Spices Hot Sauce","Cinnamon, Ginger, Chili Powder, Cumin",Fruit,Bulking,62g/130mL,178g/272mL,471,10,68,11
3234,Chili Con Carne,"Cheese 101g, Spices Paprika, Black Mustard Seed",Hot Sauce,Spicy,Bulking,78g/138mL,199g/230mL,450,22,37,25
3235,Garlic Bread,"Tuna 131g, Spices Black Mustard Seed, Black Pepper, Garlic Powder","Oregano, Turmeric",Savory,Bulking,52g/109mL,160g/274mL,398,8,45,20
3236,Fruit Kebabs,"Carrot 149g, Spices Cardamom, Garlic Powder, Paprika","Hot Sauce, Chili Powder, Garlic Powder, Oregano",Fruit,Bulking,56g/127mL,146g/299mL,364,16,58,6
3237,Maple Pecan Pie,"Yogurt 114g, Spices Rosemary, Paprika","Rosemary, Garlic Powder",Sweet,Bulking,90g/131mL,172g/233mL,488,46,76,28
3238,Jalapeno Poppers,"Egg 58g, Spices Thyme","Cumin, Turmeric",Spicy,Bulking,54g/134mL,136g/248mL,380,15,38,10
3239,Garlic Bread,"Kale 148g, Spices Cardamom","Oregano, Cinnamon",Savory,Bulking,79g/107mL,166g/236mL,746,14,34,18
3240,Vanilla Custard,"Carrot 126g, Spices Black Mustard Seed, Cardamom","Chili Powder, Rosemary",Sweet,Bulking,67g/108mL,178g/277mL,295,7,40,9
